image_name,confidence_value,IoU_value
IMG_20180720_142731,0.933204,0.9485111725861728
IMG_20100101_022751,0.886202,0.9454278698983594
IMG_1263,0.912527,0.9537724498372668
IMG_0233,0.916884,0.9208134609627275
IMG_1251,0.882384,0.7485045462970967
IMG_1254,0.907779,0.9721759662207634
IMG_20180719_143627,0.7249226666666667,0.28719805249863944
IMG_20100101_032219,0.894278,0.9018300894692105
IMG_20100101_031805,0.91613,0.9271645806149772
IMG_20100101_031126,0.832945,0.8969207878594198
IMG_20100101_031404,0.889813,0.9405857408291687
IMG_20180810_093330,0.902846,0.9999789964097285
IMG_20180725_122231,0.881738,0.8412099911184453
IMG_20180810_092905,0.909955,0.9431566123207024
IMG_20180725_114304,0.901622,0.8995590268729671
IMG_20180811_083858,0.914975,0.9448711666119644
IMG_20180725_121427,0.905902,0.9548624267856898
IMG_20180725_120946,0.914281,0.9302049593293762
IMG_20180723_123939,0.891522,0.9472327584252802
IMG_20180724_121053,0.7918546666666666,0.9034275379826378
IMG_20180724_121406,0.942018,0.9369358580893941
IMG_20180723_124904,0.882231,0.9166652045896417
IMG_20180723_145353,0.944682,0.9149079078949816
IMG_20180723_145947,0.932506,0.9230712635990447
IMG_20180724_121309,0.914698,0.9571288979119426
IMG_20180724_150507,0.895602,0.9220691047503995
IMG_20180724_123732,0.912688,0.9705403268107944
IMG_20180724_125716,0.916383,0.9356759340827476
IMG_20180724_124449,0.865441,0.9189575941203012
IMG_20180719_125126,0.917771,0.9312249494857722
IMG_20100101_033117,0.865232,0.9326713941313599
IMG_20180714_103808,0.929338,0.9444479158364497
IMG_20100101_032317,0.893045,0.9336683712432576
IMG_20100101_033637,0.7691795,0.9292046877767932
IMG_20180714_103316,0.915271,0.9484835150913759
IMG_20100101_033033,0.840162,0.9170153862196334
IMG_20180724_122357,0.5994865,0.4629778251980421
IMG_20180723_123134,0.927443,0.9095788721227593
IMG_20180719_143723,0.618351,0.7734426623356565
IMG_20180721_090506,0.8945,0.8577323675994412
