Salt,VC,EC,EMC,C1-0C,C2-10C,C3-20C,C4-30C,C5-40C,C6-50C,C7-60C,S0,S1,S2,log(eror - Arrhenius fits),logClass
0.19703731366507954,0.0,0.23047220194413492,0.9727845787705327,0.8853726498867049,0.8542227046339794,0.752032433324874,0.6722133809829602,0.640460837612716,0.6070478817156091,0.5770333737675347,0.8881143931230294,0.9715037306894799,0.7666028542778112,0.4087825718017764,Low
0.24628263778669898,0.0,0.22580222635934008,0.9626038296416128,0.9048433768142565,0.8856706748299784,0.8065771652026623,0.7098212208355439,0.6851918688420239,0.6810856084127888,0.6728002239432676,0.9124416298854987,0.9804941415647266,0.8299624336874989,0.6208865284116493,Moderate
0.2703762487162729,0.0,0.22353534965437982,0.9575990075908414,0.9056050584849041,0.8724985725511477,0.8068462199338989,0.7793412811421017,0.7525157652729194,0.7561921359943374,0.7378619638580446,0.9006342598743298,0.9308132558715149,0.8035460095487281,0.4540186441090594,Moderate
0.35880870133507603,0.0,0.21510878563170413,0.9393568784221007,0.8689754424643269,0.8661782247624217,0.7863460838778127,0.7372600844415906,0.7168076707750638,0.6898362394001178,0.5963578115766232,0.8658498541054676,0.8496164673522104,0.5650079527380142,0.570211225693305,Moderate
0.4557557651012977,0.0,0.20544748984446215,0.9198256284221006,0.8550814501806596,0.8449332632328748,0.771807956070701,0.8089516771985991,0.6915434479269985,0.7518915519609255,0.738064134863612,0.853566174118852,0.8722774166533017,0.7269809392802671,0.8837646995416214,Strong
0.5191174182304795,0.0,0.20011212132855039,0.905973898705824,0.8414553861228483,0.8564998388820106,0.8249921270916707,0.7718494941880479,0.7593220435317625,0.7651599112246653,0.77737861963858,0.8456696632862438,0.8322969514295983,0.6762368922686326,0.5964822614851376,Moderate
0.5730308405688855,0.0,0.19577396899024438,0.8939615480338479,0.7659474707575475,0.7483076957866227,0.7204429619256977,0.6987153834460984,0.6998701265484639,0.7023572840613306,0.5677428384809182,0.7466286799620143,0.7116189112919872,0.41039311969108827,0.8229128116965805,Strong
0.6205085114990819,0.0,0.19031809624271295,0.8852040816326531,0.7215096607263152,0.7455217678883365,0.7044770095789601,0.6989728651509377,0.7233382876597491,0.7451572603728677,0.7737177692762275,0.7202328407855187,0.7408061652880267,0.6372702447865007,0.44970296602195853,Moderate
0.6807145302337161,0.0,0.184565329011481,0.8727989671478349,0.672714189478841,0.6993391335809457,0.6530325219906382,0.6623049886304767,0.7241624299123853,0.7800695425588617,0.8299213088239865,0.6707615546993793,0.7296963795788912,0.7257890490321334,0.46183971970293985,Moderate
0.7254100146267076,0.0,0.18055550704338502,0.8633006937531111,0.6342090758772734,0.6456557502162364,0.596745049240074,0.6065803637627077,0.6467328443422633,0.6730371711463242,0.715638704861435,0.6281652716885887,0.708105391145465,0.6342453470700046,0.49504866812809084,Moderate
0.78255376093113,0.0,0.17499310156934933,0.8516441637630664,0.6069760854920692,0.6469379102148801,0.6135181657805189,0.6238812730143657,0.6492137967096839,0.6479386807218216,0.6341171347703024,0.5996457198529749,0.5972898636998463,0.36803366681769395,0.37170626379655025,Low
0.8302803970995549,0.0,0.1706811458031345,0.8415334121453462,0.5087172362055232,0.5861902096795155,0.517239376159916,0.5934177749237634,0.6164271444039325,0.6280685724599059,0.6073901278342821,0.5022108065285967,0.49363150692306906,0.24684836189924184,0.6411502799464281,Moderate
0.8826502349609435,0.0,0.16569855779138448,0.8307207410403187,0.33354384836793316,0.3733561725149662,0.3017723980420157,0.357763073400899,0.4524143105197498,0.49085315127057594,0.46639917887468507,0.31629049003833254,0.4502166651732112,0.2820521193468551,0.033395441574590255,Very Low
0.9304826813556156,0.0,0.16125736560285298,0.8207227631906423,0.284761773531752,0.32940544635336144,0.25921283146472773,0.32926636327256104,0.391845538690638,0.4859377952245187,0.47079406550340613,0.2701573102263959,0.43649437899558735,0.3099717402277926,0.6791863080343177,Moderate
0.44216226309401546,0.0,0.6869771600820126,0.38796703894972623,0.824828525935452,0.8948131313987866,0.9543004424115871,0.9757005518794614,0.962529946203404,0.9529558407571288,0.9788560231408041,0.8216632468791366,0.6023870172500749,0.3719598294889431,0.501872357535234,Moderate
0.5342794012386021,0.0,0.6708889719417247,0.37710186971129916,0.6824552942617427,0.7639061784508926,0.798799037517848,0.8531640778897667,0.9072356847911657,0.954027461696602,0.9673664893782459,0.6750129164636943,0.5238453449948414,0.39451866546389164,0.41025583705949603,Low
0.6325833255531697,0.0,0.6535450947791976,0.36570199726231956,0.45754294506705745,0.5338183832799093,0.5287812126419034,0.5925584685112292,0.7054629263870457,0.7206312411344519,0.7647911417996329,0.4454551269749896,0.429132500308679,0.305197648329789,0.5547430122869584,Moderate
0.41487567298415956,0.0,0.9166110717192284,0.1408330481582877,0.6446238287708981,0.6899094912628823,0.7077026089136611,0.7607219414740978,0.8450982008122069,0.84128165864361,0.9705701222357,0.6364711729133157,0.5999076911427824,0.5850447707175969,0.7664115119863186,Strong
0.5085550679986307,0.0,0.8949761960481598,0.13565323232951718,0.499938759262661,0.5735585593225128,0.576107328378242,0.6648798056788681,0.7755917483467424,0.8519132663852255,0.948415290348667,0.49090730161542034,0.4905418617433246,0.5287679582892838,0.34822680690502344,Low
0.5931472318177574,0.0,0.8776515297051661,0.12851543056246892,0.50687044522016,0.6787386440083895,0.6902140513833385,0.7308013264961081,0.7787462238654546,0.8064116772841744,0.8269571708500512,0.5170177484512553,0.34703849709308887,0.07227181628562927,0.8670587105851396,Strong
