Salt,VC,EC,EMC,C1-0C,C2-10C,C3-20C,C4-30C,C5-40C,C6-50C,C7-60C,S0,S1,S2,log(eror - Arrhenius fits),logClass
0.108358,0.286128,0.386015,0.219499,-2.411623,-2.26299,-2.143047,-2.031087,-1.940237,-1.858166,-1.788663,-2.410731,-1.165243,-0.337578,-6.380718,Low
0.157657,0.268895,0.365497,0.207951,-2.766348999999999,-2.559107,-2.384151,-2.237175,-2.108467,-2.004676,-1.924607,-2.752834500000001,-1.7131,-0.647778,-6.135205,Low
0.060914,0.103901,0.650175,0.18501,-2.348586,-2.228969,-2.124685,-2.035452,-1.955242,-1.880376,-1.812124,-2.347179,-0.925567,-0.177798,-6.357718,Low
0.106566,0.099193,0.618261,0.17598,-2.580799,-2.3855,-2.214495,-2.089666,-1.981194,-1.895191,-1.819735,-2.58032,-1.613674,-0.70538,-5.677143,Moderate
0.058529,0.296476,0.502262,0.142733,-2.312601,-2.19553,-2.089893,-2.000262,-1.919141,-1.852436,-1.796911,-2.314045,-0.966734,-0.273505,-6.3735,Low
0.104746,0.282732,0.477937,0.134586,-2.444343,-2.288124,-2.154416,-2.044963,-1.946912,-1.865594,-1.788818,-2.443105,-1.239608,-0.381377,-6.220066,Low
0.152137,0.267502,0.452203,0.128157,-2.569565,-2.440952,-2.331143,-2.211295,-2.09747,-1.985739,-1.889539,-2.56874,-0.933065,0.152759,-5.591696,Moderate
0.060607,0.310562,0.402239,0.226593,-2.287711,-2.170636,-2.073855,-1.98151,-1.90623,-1.839527,-1.772348,-2.286673,-0.906942,-0.198458,-6.120781,Low
0.027083,0.0,0.330456,0.642461,-2.495218,-2.414999,-2.347211,-2.285613,-2.230726,-2.162948,-2.072515,-2.494838,-0.627206,-0.137276,-7.374683,Very Low
0.02259,0.0,0.758965,0.218445,-2.766348999999999,-2.5914034999999993,-2.292548,-2.223118,-2.154513,-2.097079,-2.041876,-2.752834500000001,-1.9412727499999995,-0.7659497500000001,-4.109147499999999,Strong
0.026796,0.114292,0.288991,0.569921,-2.444764,-2.359007,-2.292159,-2.229607,-2.174395,-2.124428,-2.072515,-2.442407,-0.628587,-0.112873,-6.052128,Low
0.023916,0.105917,0.555129,0.315038,-2.488885,-2.398169,-2.293525,-2.215683,-2.146817,-2.083668,-2.026373,-2.492498,-0.820144,-0.172325,-5.410174,Moderate
0.022921,0.108919,0.677576,0.190584,-2.656721,-2.423371,-2.276988,-2.200227,-2.13352,-2.078292,-2.022688,-2.639124,-1.647301,-0.7659497500000001,-4.109147499999999,Strong
0.025896,0.322698,0.218738,0.432668,-2.373217,-2.286821,-2.222399,-2.149148,-2.09229,-2.047382,-2.002025,-2.373237,-0.66865,-0.160324,-5.707089,Moderate
0.022721,0.323792,0.418305,0.235182,-2.437969,-2.341493,-2.253125,-2.183485,-2.117605,-2.060184,-2.013251,-2.438247,-0.784163,-0.211124,-6.554949,Low
0.02154,0.308579,0.521895,0.147986,-2.466883,-2.369267,-2.280977,-2.205328,-2.134636,-2.074043,-2.027012,-2.468035,-0.797869,-0.190841,-6.229954,Low
0.086347,0.0,0.307355,0.606298,-2.321578,-2.223207,-2.136376,-2.064029,-1.995529,-1.934005,-1.88122,-2.320942,-0.771009,-0.158814,-6.751709,Low
